group,variable,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,83
4,9,251
4,10,251
4,11,251
4,12,251
4,13,251
4,14,101
4,15,57
4,16,31
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,54
5,7,115
5,8,241
5,9,251
5,10,251
5,11,251
5,12,251
5,13,251
5,14,251
5,15,253
5,16,187
5,17,35
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,41
6,6,209
6,7,251
6,8,251
6,9,251
6,10,251
6,11,251
6,12,251
6,13,251
6,14,251
6,15,253
6,16,251
6,17,196
6,18,146
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,59
7,6,251
7,7,251
7,8,251
7,9,236
7,10,214
7,11,214
7,12,214
7,13,234
7,14,251
7,15,253
7,16,251
7,17,251
7,18,248
7,19,156
7,20,15
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,59
8,6,251
8,7,251
8,8,251
8,9,153
8,10,0
8,11,0
8,12,0
8,13,85
8,14,155
8,15,179
8,16,251
8,17,251
8,18,251
8,19,251
8,20,154
8,21,15
8,22,0
8,23,0
8,24,0
8,25,0
8,26,0
8,27,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,59
9,6,251
9,7,251
9,8,251
9,9,153
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,23
9,16,98
9,17,204
9,18,251
9,19,251
9,20,251
9,21,156
9,22,0
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,55
10,6,241
10,7,251
10,8,251
10,9,160
10,10,7
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,28
10,18,222
10,19,251
10,20,251
10,21,231
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,117
11,7,251
11,8,251
11,9,251
11,10,96
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,28
11,19,204
11,20,251
11,21,237
11,22,53
11,23,0
11,24,0
11,25,0
11,26,0
11,27,0
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,55
12,7,210
12,8,251
12,9,251
12,10,96
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,98
12,20,251
12,21,251
12,22,214
12,23,62
12,24,0
12,25,0
12,26,0
12,27,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,176
13,8,253
13,9,253
13,10,216
13,11,179
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,99
13,20,253
13,21,253
13,22,253
13,23,116
13,24,0
13,25,0
13,26,0
13,27,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,233
14,9,251
14,10,251
14,11,251
14,12,173
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,98
14,20,251
14,21,251
14,22,251
14,23,115
14,24,0
14,25,0
14,26,0
14,27,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,144
15,9,251
15,10,251
15,11,251
15,12,173
15,13,0
15,14,0
15,15,0
15,16,0
15,17,0
15,18,18
15,19,167
15,20,251
15,21,251
15,22,251
15,23,115
15,24,0
15,25,0
15,26,0
15,27,0
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,13
16,9,145
16,10,251
16,11,251
16,12,226
16,13,80
16,14,0
16,15,0
16,16,0
16,17,0
16,18,39
16,19,251
16,20,251
16,21,251
16,22,251
16,23,115
16,24,0
16,25,0
16,26,0
16,27,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,8
17,10,163
17,11,251
17,12,251
17,13,240
17,14,81
17,15,0
17,16,0
17,17,0
17,18,68
17,19,251
17,20,251
17,21,251
17,22,179
17,23,9
17,24,0
17,25,0
17,26,0
17,27,0
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,97
18,11,237
18,12,251
18,13,251
18,14,251
18,15,0
18,16,0
18,17,67
18,18,240
18,19,251
18,20,251
18,21,243
18,22,108
18,23,0
18,24,0
18,25,0
18,26,0
18,27,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,95
19,12,251
19,13,251
19,14,251
19,15,120
19,16,0
19,17,175
19,18,251
19,19,251
19,20,251
19,21,231
19,22,0
19,23,0
19,24,0
19,25,0
19,26,0
19,27,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,5
20,12,117
20,13,251
20,14,251
20,15,243
20,16,212
20,17,239
20,18,251
20,19,251
20,20,251
20,21,218
20,22,0
20,23,0
20,24,0
20,25,0
20,26,0
20,27,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,14
21,12,198
21,13,251
21,14,251
21,15,253
21,16,251
21,17,251
21,18,251
21,19,251
21,20,204
21,21,26
21,22,0
21,23,0
21,24,0
21,25,0
21,26,0
21,27,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,78
22,13,251
22,14,251
22,15,253
22,16,251
22,17,251
22,18,251
22,19,199
22,20,45
22,21,0
22,22,0
22,23,0
22,24,0
22,25,0
22,26,0
22,27,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,19
23,13,164
23,14,253
23,15,255
23,16,253
23,17,118
23,18,59
23,19,36
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
23,25,0
23,26,0
23,27,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
24,25,0
24,26,0
24,27,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0
25,12,0
25,13,0
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
25,19,0
25,20,0
25,21,0
25,22,0
25,23,0
25,24,0
25,25,0
25,26,0
25,27,0
26,0,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
26,15,0
26,16,0
26,17,0
26,18,0
26,19,0
26,20,0
26,21,0
26,22,0
26,23,0
26,24,0
26,25,0
26,26,0
26,27,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,0
27,15,0
27,16,0
27,17,0
27,18,0
27,19,0
27,20,0
27,21,0
27,22,0
27,23,0
27,24,0
27,25,0
27,26,0
27,27,0
